"check","result"
"Get-SmbMapping","no active mapping for Youssef Storage/WDMyCloudEX4100"
"net use","no active connection"
"ICMP ping","192.168.0.104 reachable"
"NetBIOS","WDMYCLOUDEX4100<00> UNIQUE Registered; WDMYCLOUDEX4100<03> UNIQUE Registered; WDMYCLOUDEX4100<20> UNIQUE Registered; WORKGROUP <00> GROUP Registered"
"Open TCP ports","22 SSH; 80 HTTP; 139 NetBIOS session; 445 SMB"
"Closed TCP ports","443 HTTPS; 548 AFP; 2049 NFS"
"UNC root \\192.168.0.104","not listable: Cannot find path '\\192.168.0.104' because it does not exist."
"UNC root \\WDMyCloudEX4100","not listable: Cannot find path '\\WDMyCloudEX4100' because it does not exist."
"net view \\192.168.0.104","System error 53 has occurred.; The network path was not found."
"net view \\WDMyCloudEX4100","System error 53 has occurred.; The network path was not found."
"WD web UI","HTTP 200 at root"
