"folder","public_repo_treatment","release_decision","license_types","evidence_files","notice_status","notice_required_before_public","recommended_notice_action","issue"
"Assets/BuildingMaterials","replace_before_public_release","pending","","","defer_until_final_asset_decision","yes_if_retained_or_replaced_with_attribution_required_material","Do not add final NOTICE text yet; first remove, replace, import externally, or confirm redistribution rights for this folder.","#2"
"Assets/Comparision2D","retain_candidate_reviewed","retain_candidate","","","owner_review_required_no_folder_notice","yes_if_non_original_material_remains","During final public review, add NOTICE/license attribution for any retained non-original files or document the folder as project-owned.",""
"Assets/Editor","retain_candidate_reviewed","retain_candidate","","","owner_review_required_no_folder_notice","yes_if_non_original_material_remains","During final public review, add NOTICE/license attribution for any retained non-original files or document the folder as project-owned.",""
"Assets/Fantasy Skybox FREE","exclude_until_import_or_rights_confirmed","pending","Store","Fantasy Skybox FREE/Readme.txt; Fantasy Skybox FREE/Readme.txt.meta; Fantasy Skybox FREE/ReleaseNotes.txt; Fantasy Skybox FREE/ReleaseNotes.txt.meta","defer_until_final_asset_decision","yes_if_retained_or_replaced_with_attribution_required_material","Do not add final NOTICE text yet; first remove, replace, import externally, or confirm redistribution rights for this folder.","#2"
"Assets/Fresh_Raystore","exclude_until_import_or_rights_confirmed","pending","Store","Fresh_Raystore/Fresh_shelving_Package.txt; Fresh_Raystore/Fresh_shelving_Package.txt.meta","defer_until_final_asset_decision","yes_if_retained_or_replaced_with_attribution_required_material","Do not add final NOTICE text yet; first remove, replace, import externally, or confirm redistribution rights for this folder.","#2"
"Assets/IdentifyingColors","retain_candidate_reviewed","retain_candidate","","","owner_review_required_no_folder_notice","yes_if_non_original_material_remains","During final public review, add NOTICE/license attribution for any retained non-original files or document the folder as project-owned.",""
"Assets/Lana Studio","replace_before_public_release","pending","","","defer_until_final_asset_decision","yes_if_retained_or_replaced_with_attribution_required_material","Do not add final NOTICE text yet; first remove, replace, import externally, or confirm redistribution rights for this folder.","#2"
"Assets/Prefabs","retain_candidate_reviewed","retain_candidate","","","owner_review_required_no_folder_notice","yes_if_non_original_material_remains","During final public review, add NOTICE/license attribution for any retained non-original files or document the folder as project-owned.",""
"Assets/Samples","exclude_until_import_or_rights_confirmed","pending","","","defer_until_final_asset_decision","yes_if_retained_or_replaced_with_attribution_required_material","Do not add final NOTICE text yet; first remove, replace, import externally, or confirm redistribution rights for this folder.","#2"
"Assets/Scenes","retain_candidate_reviewed","retain_candidate","","","owner_review_required_no_folder_notice","yes_if_non_original_material_remains","During final public review, add NOTICE/license attribution for any retained non-original files or document the folder as project-owned.",""
"Assets/Scripts","retain_candidate_reviewed","retain_candidate","","","owner_review_required_no_folder_notice","yes_if_non_original_material_remains","During final public review, add NOTICE/license attribution for any retained non-original files or document the folder as project-owned.",""
"Assets/Settings","retain_candidate_reviewed","retain_candidate","","","owner_review_required_no_folder_notice","yes_if_non_original_material_remains","During final public review, add NOTICE/license attribution for any retained non-original files or document the folder as project-owned.",""
"Assets/Sprites","replace_before_public_release","pending","","","defer_until_final_asset_decision","yes_if_retained_or_replaced_with_attribution_required_material","Do not add final NOTICE text yet; first remove, replace, import externally, or confirm redistribution rights for this folder.","#2"
"Assets/TextMesh Pro","exclude_until_import_or_rights_confirmed","pending","Pro; Store","","pending_package_and_font_review","yes_if_any_textmesh_pro_or_liberation_sans_files_remain_bundled","Confirm Unity/TextMesh Pro redistribution terms and keep the LiberationSans OFL attribution if bundled font files remain.","#2"
"Assets/VRTemplateAssets","exclude_until_import_or_rights_confirmed","pending","Pro","","defer_until_final_asset_decision","yes_if_retained_or_replaced_with_attribution_required_material","Do not add final NOTICE text yet; first remove, replace, import externally, or confirm redistribution rights for this folder.","#2"
"Assets/WOC","replace_before_public_release","pending","","","defer_until_final_asset_decision","yes_if_retained_or_replaced_with_attribution_required_material","Do not add final NOTICE text yet; first remove, replace, import externally, or confirm redistribution rights for this folder.","#2"
"Assets/XR","retain_candidate_reviewed","retain_candidate","","","mentioned_but_owner_review_required","yes_if_non_original_material_remains","Keep the NOTICE entry only after final owner review confirms retained files are original or redistributable.",""
"Assets/XRI","retain_candidate_reviewed","retain_candidate","","","owner_review_required_no_folder_notice","yes_if_non_original_material_remains","During final public review, add NOTICE/license attribution for any retained non-original files or document the folder as project-owned.",""
